final,  topic0,  topic1,  topic2,  topic3,  topic4,  topic5,  topic6,  topic7,  topic8,  topic9
joe,  0.010,  207.010,  0.010,  477.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
time,  356.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
looked,  137.010,  0.010,  0.010,  0.010,  0.010,  0.010,  16.010,  0.010,  170.010,  0.010
pip,  90.010,  227.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
man,  147.010,  0.010,  0.010,  0.010,  152.010,  0.010,  0.010,  0.010,  0.010,  0.010
well,  166.010,  129.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
herbert,  216.010,  0.010,  73.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
dont,  84.010,  167.010,  31.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
hand,  210.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  52.010,  0.010,  0.010
wemmick,  196.010,  58.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
good,  194.010,  32.010,  0.010,  0.010,  17.010,  0.010,  0.010,  0.010,  0.010,  0.010
havisham,  158.010,  82.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
going,  114.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  123.010
thought,  154.010,  0.010,  0.010,  2.010,  0.010,  0.010,  0.010,  79.010,  0.010,  0.010
estella,  107.010,  0.010,  0.010,  0.010,  0.010,  124.010,  0.010,  0.010,  0.010,  0.010
biddy,  0.010,  93.010,  0.010,  130.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
head,  221.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
dear,  0.010,  41.010,  168.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
boy,  0.010,  0.010,  209.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
jaggers,  153.010,  55.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
day,  183.010,  0.010,  7.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
night,  182.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
hands,  154.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  26.010,  0.010,  0.010
round,  177.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
eyes,  105.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  72.010,  0.010
great,  174.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
will,  99.010,  73.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
knew,  171.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
long,  169.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
face,  136.010,  0.010,  0.010,  0.010,  0.010,  25.010,  0.010,  0.010,  0.010,  0.010
room,  158.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
pocket,  0.010,  0.010,  0.010,  0.010,  0.010,  1.010,  155.010,  0.010,  0.010,  0.010
mind,  141.010,  13.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
young,  110.010,  0.010,  0.010,  0.010,  42.010,  0.010,  0.010,  0.010,  0.010,  0.010
sister,  0.010,  53.010,  0.010,  79.010,  19.010,  0.010,  0.010,  0.010,  0.010,  0.010
house,  149.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
asked,  78.010,  67.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
left,  142.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
fire,  129.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  11.010,  0.010,  0.010
told,  140.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
pumblechook,  0.010,  0.010,  0.010,  37.010,  102.010,  0.010,  0.010,  0.010,  0.010,  0.010
returned,  65.010,  73.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
door,  135.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
felt,  134.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
place,  108.010,  0.010,  0.010,  0.010,  0.010,  24.010,  0.010,  0.010,  0.010,  0.010
better,  100.010,  8.010,  0.010,  0.010,  0.010,  22.010,  0.010,  0.010,  0.010,  0.010
sir,  43.010,  83.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
life,  121.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
stood,  121.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
sat,  102.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  15.010,  0.010,  0.010
heard,  112.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
moment,  111.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
light,  110.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010,  0.010
