THE MOST TOPIC-SPECIFIC WORDS (specificities > 0.53):
       topi1	       topi2	       topi3	       topi4	       topi5	       topi6	       topi7	       topi8	       topi9	      topi10	
        0.09	        0.10	        0.10	        0.11	        0.12	        0.10	        0.10	        0.09	        0.11	        0.09	
   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	
    havisham	        dear	         man	      looked	        door	     herbert	         joe	         pip	         day	     wemmick	
     estella	         boy	       young	       round	      coming	      pocket	       biddy	        dont	        knew	     jaggers	
   havishams	        will	      wopsle	        eyes	       three	     drummle	      sister	    returned	      course	        case	
        love	       thing	       black	        face	        open	      provis	 pumblechook	         sir	     morning	      person	
            	        poor	            	       table	        dark	        help	        hear	      pretty	         lay	       didnt	
            	        aint	            	       chair	      street	      father	     kitchen	            	         bed	        aged	
            	      fellow	            	        hair	        gate	    guardian	        joes	            	         arm	    property	
            	   compeyson	            	       white	       river	            	       forge	            	        town	            	
            	            	            	       large	      window	            	       uncle	            	            	            	
            	            	            	       mouth	     marshes	            	            	            	            	            	
            	            	            	        arms	      corner	            	            	            	            	            	
            	            	            	            	      garden	            	            	            	            	            	
            	            	            	            	        wind	            	            	            	            	            	
            	            	            	            	      walked	            	            	            	            	            	
            	            	            	            	            	            	            	            	            	            	
