document names, topic_0 , topic_1 , topic_2 , topic_3 , topic_4 , topic_5 , topic_6 , topic_7 
 joe, 684, 0, 0, 0, 0, 0, 0, 0
 time, 356, 0, 0, 0, 0, 0, 0, 0
 looked, 323, 0, 0, 0, 0, 0, 0, 0
 pip, 228, 0, 0, 0, 0, 25, 0, 64
 man, 131, 168, 0, 0, 0, 0, 0, 0
 well, 284, 0, 0, 0, 0, 0, 1, 10
 herbert, 193, 0, 0, 0, 0, 0, 96, 0
 dont, 224, 0, 0, 0, 0, 58, 0, 0
 hand, 262, 0, 0, 0, 0, 0, 0, 0
 wemmick, 86, 0, 0, 168, 0, 0, 0, 0
 good, 243, 0, 0, 0, 0, 0, 0, 0
 havisham, 113, 0, 127, 0, 0, 0, 0, 0
 going, 237, 0, 0, 0, 0, 0, 0, 0
 thought, 235, 0, 0, 0, 0, 0, 0, 0
 estella, 153, 0, 78, 0, 0, 0, 0, 0
 biddy, 223, 0, 0, 0, 0, 0, 0, 0
 head, 221, 0, 0, 0, 0, 0, 0, 0
 dear, 25, 0, 0, 0, 0, 121, 63, 0
 boy, 40, 0, 0, 0, 0, 169, 0, 0
 jaggers, 143, 0, 1, 64, 0, 0, 0, 0
 day, 190, 0, 0, 0, 0, 0, 0, 0
 night, 182, 0, 0, 0, 0, 0, 0, 0
 hands, 180, 0, 0, 0, 0, 0, 0, 0
 round, 176, 0, 0, 0, 0, 1, 0, 0
 eyes, 177, 0, 0, 0, 0, 0, 0, 0
 great, 173, 0, 0, 0, 0, 0, 0, 1
 will, 90, 0, 0, 0, 0, 0, 0, 82
 knew, 171, 0, 0, 0, 0, 0, 0, 0
 long, 169, 0, 0, 0, 0, 0, 0, 0
 face, 161, 0, 0, 0, 0, 0, 0, 0
 room, 158, 0, 0, 0, 0, 0, 0, 0
 pocket, 61, 0, 0, 0, 0, 0, 95, 0
 mind, 154, 0, 0, 0, 0, 0, 0, 0
 young, 76, 63, 0, 0, 13, 0, 0, 0
 sister, 107, 0, 0, 0, 44, 0, 0, 0
 house, 149, 0, 0, 0, 0, 0, 0, 0
 asked, 145, 0, 0, 0, 0, 0, 0, 0
 left, 142, 0, 0, 0, 0, 0, 0, 0
 fire, 140, 0, 0, 0, 0, 0, 0, 0
 told, 112, 0, 28, 0, 0, 0, 0, 0
 pumblechook, 63, 0, 0, 0, 76, 0, 0, 0
 returned, 138, 0, 0, 0, 0, 0, 0, 0
 door, 135, 0, 0, 0, 0, 0, 0, 0
 felt, 134, 0, 0, 0, 0, 0, 0, 0
 place, 132, 0, 0, 0, 0, 0, 0, 0
 better, 130, 0, 0, 0, 0, 0, 0, 0
 sir, 126, 0, 0, 0, 0, 0, 0, 0
 life, 121, 0, 0, 0, 0, 0, 0, 0
 stood, 121, 0, 0, 0, 0, 0, 0, 0
 sat, 116, 0, 0, 1, 0, 0, 0, 0
 heard, 112, 0, 0, 0, 0, 0, 0, 0
 moment, 111, 0, 0, 0, 0, 0, 0, 0
 light, 110, 0, 0, 0, 0, 0, 0, 0
 table, 109, 0, 0, 0, 0, 0, 0, 0
 gentleman, 65, 10, 2, 0, 0, 0, 0, 30
 ill, 61, 0, 0, 0, 0, 0, 0, 45
 began, 105, 0, 0, 0, 0, 0, 0, 0
 brought, 101, 0, 0, 0, 0, 0, 0, 0
 air, 99, 0, 0, 0, 0, 0, 0, 0
 coming, 99, 0, 0, 0, 0, 0, 0, 0
 course, 98, 0, 0, 0, 0, 0, 0, 0
 side, 97, 0, 0, 0, 0, 0, 0, 0
 wopsle, 97, 0, 0, 0, 0, 0, 0, 0
 thing, 70, 0, 0, 0, 0, 0, 9, 14
 times, 92, 0, 0, 0, 0, 0, 0, 0
 manner, 91, 0, 0, 0, 0, 0, 0, 0
 turned, 87, 0, 0, 0, 0, 0, 0, 0
 hope, 71, 0, 14, 0, 0, 0, 0, 0
 word, 85, 0, 0, 0, 0, 0, 0, 0
 heart, 63, 11, 11, 0, 0, 0, 0, 0
 best, 82, 0, 0, 0, 1, 0, 0, 0
 morning, 83, 0, 0, 0, 0, 0, 0, 0
 drummle, 82, 0, 0, 0, 0, 0, 0, 0
 held, 76, 0, 0, 0, 0, 3, 0, 2
 question, 81, 0, 0, 0, 0, 0, 0, 0
 three, 80, 0, 0, 0, 0, 0, 0, 0
 open, 79, 0, 0, 0, 0, 0, 0, 0
 chair, 78, 0, 0, 0, 0, 0, 0, 0
 london, 78, 0, 0, 0, 0, 0, 0, 0
 hair, 78, 0, 0, 0, 0, 0, 0, 0
 poor, 77, 0, 0, 0, 0, 0, 0, 0
 black, 77, 0, 0, 0, 0, 0, 0, 0
 money, 26, 0, 0, 3, 0, 0, 0, 48
 havishams, 76, 0, 0, 0, 0, 0, 0, 0
 set, 73, 0, 0, 0, 0, 0, 0, 0
 case, 42, 0, 0, 0, 30, 0, 0, 0
 lay, 71, 0, 0, 0, 0, 0, 0, 0
 stopped, 70, 0, 0, 0, 0, 0, 0, 0
 bed, 70, 0, 0, 0, 0, 0, 0, 0
 passed, 69, 0, 0, 0, 0, 0, 0, 0
 dark, 68, 0, 0, 0, 0, 0, 0, 0
 state, 68, 0, 0, 0, 0, 0, 0, 0
 people, 67, 0, 0, 0, 0, 0, 0, 0
 low, 60, 0, 0, 0, 0, 7, 0, 0
 half, 66, 0, 0, 0, 0, 0, 0, 0
 evening, 65, 1, 0, 0, 0, 0, 0, 0
 mine, 66, 0, 0, 0, 0, 0, 0, 0
 replied, 65, 0, 0, 0, 0, 0, 0, 0
 arm, 65, 0, 0, 0, 0, 0, 0, 0
 making, 63, 0, 0, 1, 0, 0, 0, 0
 leave, 63, 0, 0, 0, 0, 0, 0, 0
 chapter, 63, 0, 0, 0, 0, 0, 0, 0
 provis, 0, 0, 0, 0, 28, 0, 34, 0
 friend, 62, 0, 0, 0, 0, 0, 0, 0
 wanted, 62, 0, 0, 0, 0, 0, 0, 0
 days, 62, 0, 0, 0, 0, 0, 0, 0
 called, 62, 0, 0, 0, 0, 0, 0, 0
 work, 58, 0, 0, 0, 0, 0, 3, 0
 find, 61, 0, 0, 0, 0, 0, 0, 0
 hear, 61, 0, 0, 0, 0, 0, 0, 0
 doubt, 60, 0, 0, 0, 0, 0, 0, 0
 reason, 60, 0, 0, 0, 0, 0, 0, 0
 hold, 55, 0, 0, 0, 0, 4, 0, 0
 person, 0, 0, 0, 59, 0, 0, 0, 0
 street, 59, 0, 0, 0, 0, 0, 0, 0
 gate, 59, 0, 0, 0, 0, 0, 0, 0
 kind, 59, 0, 0, 0, 0, 0, 0, 0
 cried, 33, 0, 0, 0, 26, 0, 0, 0
 walk, 59, 0, 0, 0, 0, 0, 0, 0
 kitchen, 57, 1, 0, 0, 0, 0, 0, 0
 voice, 58, 0, 0, 0, 0, 0, 0, 0
 town, 27, 0, 0, 0, 31, 0, 0, 0
 hard, 38, 0, 20, 0, 0, 0, 0, 0
 love, 0, 0, 57, 0, 0, 0, 0, 0
 appeared, 44, 0, 0, 13, 0, 0, 0, 0
 didnt, 57, 0, 0, 0, 0, 0, 0, 0
 dinner, 29, 0, 0, 0, 0, 0, 28, 0
 aint, 0, 0, 0, 0, 0, 56, 0, 0
 read, 56, 0, 0, 0, 0, 0, 0, 0
 business, 32, 0, 0, 24, 0, 0, 0, 0
 strong, 56, 0, 0, 0, 0, 0, 0, 0
 help, 56, 0, 0, 0, 0, 0, 0, 0
 answered, 48, 0, 8, 0, 0, 0, 0, 0
 joes, 56, 0, 0, 0, 0, 0, 0, 0
 call, 35, 0, 12, 0, 8, 0, 0, 0
 years, 55, 0, 0, 0, 0, 0, 0, 0
 fell, 55, 0, 0, 0, 0, 0, 0, 0
 father, 0, 0, 0, 0, 0, 0, 16, 39
 point, 55, 0, 0, 0, 0, 0, 0, 0
 white, 55, 0, 0, 0, 0, 0, 0, 0
 woman, 20, 0, 0, 0, 35, 0, 0, 0
 rest, 54, 0, 0, 0, 0, 0, 0, 0
 shoulder, 54, 0, 0, 0, 0, 0, 0, 0
 aged, 0, 0, 0, 54, 0, 0, 0, 0
 company, 53, 0, 0, 0, 0, 0, 0, 0
 river, 53, 0, 0, 0, 0, 0, 0, 0
 child, 0, 0, 12, 0, 41, 0, 0, 0
 speak, 53, 0, 0, 0, 0, 0, 0, 0
 window, 53, 0, 0, 0, 0, 0, 0, 0
 lady, 45, 8, 0, 0, 0, 0, 0, 0
 pretty, 53, 0, 0, 0, 0, 0, 0, 0
 laid, 53, 0, 0, 0, 0, 0, 0, 0
 things, 52, 0, 0, 0, 0, 0, 0, 0
 stairs, 52, 0, 0, 0, 0, 0, 0, 0
 bad, 52, 0, 0, 0, 0, 0, 0, 0
 suppose, 52, 0, 0, 0, 0, 0, 0, 0
 idea, 52, 0, 0, 0, 0, 0, 0, 0
 understand, 0, 4, 0, 0, 0, 0, 0, 48
 large, 51, 0, 0, 0, 0, 0, 0, 0
 handel, 0, 0, 0, 0, 0, 0, 51, 0
 marshes, 51, 0, 0, 0, 0, 0, 0, 0
 orlick, 0, 33, 0, 0, 18, 0, 0, 0
 subject, 50, 0, 0, 0, 0, 0, 0, 0
 men, 49, 0, 0, 0, 0, 0, 0, 0
 short, 49, 0, 0, 0, 0, 0, 0, 0
 corner, 49, 0, 0, 0, 0, 0, 0, 0
 fellow, 49, 0, 0, 0, 0, 0, 0, 0
 em, 1, 0, 0, 0, 0, 2, 0, 45
 forge, 48, 0, 0, 0, 0, 0, 0, 0
 occasion, 48, 0, 0, 0, 0, 0, 0, 0
 turn, 48, 0, 0, 0, 0, 0, 0, 0
 wall, 48, 0, 0, 0, 0, 0, 0, 0
 circumstances, 43, 0, 0, 0, 0, 0, 4, 0
 dress, 47, 0, 0, 0, 0, 0, 0, 0
 compeyson, 0, 47, 0, 0, 0, 0, 0, 0
 dead, 47, 0, 0, 0, 0, 0, 0, 0
 eye, 47, 0, 0, 0, 0, 0, 0, 0
 country, 45, 0, 1, 0, 0, 0, 0, 0
 garden, 46, 0, 0, 0, 0, 0, 0, 0
 standing, 46, 0, 0, 0, 0, 0, 0, 0
 high, 46, 0, 0, 0, 0, 0, 0, 0
 cold, 46, 0, 0, 0, 0, 0, 0, 0
 close, 46, 0, 0, 0, 0, 0, 0, 0
 guardian, 42, 4, 0, 0, 0, 0, 0, 0
 answer, 46, 0, 0, 0, 0, 0, 0, 0
 matter, 46, 0, 0, 0, 0, 0, 0, 0
 uncle, 0, 0, 0, 0, 46, 0, 0, 0
 glad, 45, 0, 1, 0, 0, 0, 0, 0
 small, 45, 0, 0, 0, 0, 0, 0, 0
 remember, 45, 0, 0, 0, 0, 0, 0, 0
 putting, 45, 0, 0, 0, 0, 0, 0, 0
 repeated, 45, 0, 0, 0, 0, 0, 0, 0
 dropped, 45, 0, 0, 0, 0, 0, 0, 0
 wind, 44, 0, 0, 0, 0, 0, 0, 0
 mouth, 44, 0, 0, 0, 0, 0, 0, 0
 walked, 44, 0, 0, 0, 0, 0, 0, 0
 arms, 44, 0, 0, 0, 0, 0, 0, 0
 cant, 44, 0, 0, 0, 0, 0, 0, 0
 property, 0, 0, 0, 44, 0, 0, 0, 0
 quiet, 43, 0, 0, 0, 1, 0, 0, 0
