THE MOST TOPIC-SPECIFIC WORDS (specificities > 0.91):
     topic_0	     topic_1	     topic_2	     topic_3	     topic_4	     topic_5	     topic_6	     topic_7	
        0.86	        0.02	        0.02	        0.02	        0.02	        0.02	        0.02	        0.02	
   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	   ---------	
         joe	   compeyson	        love	      person	       uncle	        aint	      handel	  understand	
        time	            	            	        aged	            	            	            	          em	
      looked	            	            	    property	            	            	            	            	
        well	            	            	            	            	            	            	            	
        hand	            	            	            	            	            	            	            	
        good	            	            	            	            	            	            	            	
       going	            	            	            	            	            	            	            	
     thought	            	            	            	            	            	            	            	
       biddy	            	            	            	            	            	            	            	
        head	            	            	            	            	            	            	            	
         day	            	            	            	            	            	            	            	
       night	            	            	            	            	            	            	            	
       hands	            	            	            	            	            	            	            	
       round	            	            	            	            	            	            	            	
        eyes	            	            	            	            	            	            	            	
       great	            	            	            	            	            	            	            	
        knew	            	            	            	            	            	            	            	
        long	            	            	            	            	            	            	            	
        face	            	            	            	            	            	            	            	
        room	            	            	            	            	            	            	            	
        mind	            	            	            	            	            	            	            	
       house	            	            	            	            	            	            	            	
       asked	            	            	            	            	            	            	            	
        left	            	            	            	            	            	            	            	
        fire	            	            	            	            	            	            	            	
    returned	            	            	            	            	            	            	            	
        door	            	            	            	            	            	            	            	
        felt	            	            	            	            	            	            	            	
       place	            	            	            	            	            	            	            	
      better	            	            	            	            	            	            	            	
         sir	            	            	            	            	            	            	            	
        life	            	            	            	            	            	            	            	
       stood	            	            	            	            	            	            	            	
         sat	            	            	            	            	            	            	            	
       heard	            	            	            	            	            	            	            	
      moment	            	            	            	            	            	            	            	
       light	            	            	            	            	            	            	            	
       table	            	            	            	            	            	            	            	
       began	            	            	            	            	            	            	            	
     brought	            	            	            	            	            	            	            	
         air	            	            	            	            	            	            	            	
      coming	            	            	            	            	            	            	            	
      course	            	            	            	            	            	            	            	
        side	            	            	            	            	            	            	            	
      wopsle	            	            	            	            	            	            	            	
       times	            	            	            	            	            	            	            	
      manner	            	            	            	            	            	            	            	
      turned	            	            	            	            	            	            	            	
        word	            	            	            	            	            	            	            	
        best	            	            	            	            	            	            	            	
     morning	            	            	            	            	            	            	            	
     drummle	            	            	            	            	            	            	            	
        held	            	            	            	            	            	            	            	
    question	            	            	            	            	            	            	            	
       three	            	            	            	            	            	            	            	
        open	            	            	            	            	            	            	            	
       chair	            	            	            	            	            	            	            	
      london	            	            	            	            	            	            	            	
        hair	            	            	            	            	            	            	            	
        poor	            	            	            	            	            	            	            	
       black	            	            	            	            	            	            	            	
   havishams	            	            	            	            	            	            	            	
         set	            	            	            	            	            	            	            	
         lay	            	            	            	            	            	            	            	
     stopped	            	            	            	            	            	            	            	
         bed	            	            	            	            	            	            	            	
      passed	            	            	            	            	            	            	            	
        dark	            	            	            	            	            	            	            	
       state	            	            	            	            	            	            	            	
      people	            	            	            	            	            	            	            	
        half	            	            	            	            	            	            	            	
     evening	            	            	            	            	            	            	            	
        mine	            	            	            	            	            	            	            	
     replied	            	            	            	            	            	            	            	
         arm	            	            	            	            	            	            	            	
      making	            	            	            	            	            	            	            	
       leave	            	            	            	            	            	            	            	
     chapter	            	            	            	            	            	            	            	
      friend	            	            	            	            	            	            	            	
      wanted	            	            	            	            	            	            	            	
        days	            	            	            	            	            	            	            	
      called	            	            	            	            	            	            	            	
        work	            	            	            	            	            	            	            	
        find	            	            	            	            	            	            	            	
        hear	            	            	            	            	            	            	            	
       doubt	            	            	            	            	            	            	            	
      reason	            	            	            	            	            	            	            	
        hold	            	            	            	            	            	            	            	
      street	            	            	            	            	            	            	            	
        gate	            	            	            	            	            	            	            	
        kind	            	            	            	            	            	            	            	
        walk	            	            	            	            	            	            	            	
     kitchen	            	            	            	            	            	            	            	
       voice	            	            	            	            	            	            	            	
       didnt	            	            	            	            	            	            	            	
        read	            	            	            	            	            	            	            	
      strong	            	            	            	            	            	            	            	
        help	            	            	            	            	            	            	            	
        joes	            	            	            	            	            	            	            	
       years	            	            	            	            	            	            	            	
        fell	            	            	            	            	            	            	            	
       point	            	            	            	            	            	            	            	
       white	            	            	            	            	            	            	            	
        rest	            	            	            	            	            	            	            	
    shoulder	            	            	            	            	            	            	            	
     company	            	            	            	            	            	            	            	
       river	            	            	            	            	            	            	            	
       speak	            	            	            	            	            	            	            	
      window	            	            	            	            	            	            	            	
      pretty	            	            	            	            	            	            	            	
        laid	            	            	            	            	            	            	            	
      things	            	            	            	            	            	            	            	
      stairs	            	            	            	            	            	            	            	
         bad	            	            	            	            	            	            	            	
     suppose	            	            	            	            	            	            	            	
        idea	            	            	            	            	            	            	            	
       large	            	            	            	            	            	            	            	
     marshes	            	            	            	            	            	            	            	
     subject	            	            	            	            	            	            	            	
         men	            	            	            	            	            	            	            	
       short	            	            	            	            	            	            	            	
      corner	            	            	            	            	            	            	            	
      fellow	            	            	            	            	            	            	            	
       forge	            	            	            	            	            	            	            	
    occasion	            	            	            	            	            	            	            	
        turn	            	            	            	            	            	            	            	
        wall	            	            	            	            	            	            	            	
 circumstances	            	            	            	            	            	            	            	
       dress	            	            	            	            	            	            	            	
        dead	            	            	            	            	            	            	            	
         eye	            	            	            	            	            	            	            	
     country	            	            	            	            	            	            	            	
      garden	            	            	            	            	            	            	            	
    standing	            	            	            	            	            	            	            	
        high	            	            	            	            	            	            	            	
        cold	            	            	            	            	            	            	            	
       close	            	            	            	            	            	            	            	
    guardian	            	            	            	            	            	            	            	
      answer	            	            	            	            	            	            	            	
      matter	            	            	            	            	            	            	            	
        glad	            	            	            	            	            	            	            	
       small	            	            	            	            	            	            	            	
    remember	            	            	            	            	            	            	            	
     putting	            	            	            	            	            	            	            	
    repeated	            	            	            	            	            	            	            	
     dropped	            	            	            	            	            	            	            	
        wind	            	            	            	            	            	            	            	
       mouth	            	            	            	            	            	            	            	
      walked	            	            	            	            	            	            	            	
        arms	            	            	            	            	            	            	            	
        cant	            	            	            	            	            	            	            	
       quiet	            	            	            	            	            	            	            	
            	            	            	            	            	            	            	            	
